wallet,circles_joined,circles_organized,left_feedback,rating_1_5,self_reported_role,feedback_note,feedback_at_utc,stellar_expert
GB237RO6DJ2OS5CXAQI63QZ3IVM4FETD7RYOETALEWXVIYD6SXZ7H775,,,yes,4,member,"The site feels really smooth and the UX is solid 
I liked how it felt to use, but i wasn’t really into the visual design 
It definitely could’ve looked better",2026-07-19T17:18:45.000Z,https://stellar.expert/explorer/testnet/account/GB237RO6DJ2OS5CXAQI63QZ3IVM4FETD7RYOETALEWXVIYD6SXZ7H775
GB2K4VQVHGLLTNM6J7MFPFANINEOQQJCCZUO6B5NHQX7GHCTZU6W5MHS,Abbaas circle,Abbaas circle,no,,,,,https://stellar.expert/explorer/testnet/account/GB2K4VQVHGLLTNM6J7MFPFANINEOQQJCCZUO6B5NHQX7GHCTZU6W5MHS
GBQAORFEFKDPXX7IQ5INBDMY7YNRVNSZGKJHTGXJK3PN2OQEYMPYJEKV,Pilot circle,,yes,5,exploring,"wow, i was an amazing time",2026-07-20T18:04:09.000Z,https://stellar.expert/explorer/testnet/account/GBQAORFEFKDPXX7IQ5INBDMY7YNRVNSZGKJHTGXJK3PN2OQEYMPYJEKV
GBTTVCNCTB6GOZJYBQ5A7PIVSFA6BAQ3LVQ2AKQWKFAWSVP2PXSWP2FO,Neighbors sandoq,,yes,4,member,Clear seat order. The next-payout highlight helped.,2026-07-19T16:17:39.000Z,https://stellar.expert/explorer/testnet/account/GBTTVCNCTB6GOZJYBQ5A7PIVSFA6BAQ3LVQ2AKQWKFAWSVP2PXSWP2FO
GBX57U74O7VTIBHK7ZFN5TJ4TLRRTOOXENJAZNA2B25MDUF54DVWMY5Z,Pilot circle | Abbaas circle | Banban,Banban,no,,,,,https://stellar.expert/explorer/testnet/account/GBX57U74O7VTIBHK7ZFN5TJ4TLRRTOOXENJAZNA2B25MDUF54DVWMY5Z
GCT2EGRCG7W5T3HGG2DFR2PBR65BZHIUBLO6DP3SVGHXTBIXNH3SX7YT,,,yes,5,organizer,Everything is ok,2026-07-19T17:47:03.000Z,https://stellar.expert/explorer/testnet/account/GCT2EGRCG7W5T3HGG2DFR2PBR65BZHIUBLO6DP3SVGHXTBIXNH3SX7YT
GD3JZYUP3DFKCWSGLRR2SBKJYRVTVBEX3IIELUPE2TA6ZIC2T7U7UHNH,Neighbors sandoq | Family circle | Office lunch fund,Neighbors sandoq,yes,5,organizer,Loved how my collateral came straight back. Deploying a circle from the UI just worked.,2026-07-19T16:17:19.000Z,https://stellar.expert/explorer/testnet/account/GD3JZYUP3DFKCWSGLRR2SBKJYRVTVBEX3IIELUPE2TA6ZIC2T7U7UHNH
GD4DCCECPN4M6F6YD6NNQDUD6M4NOOCXYYP4CGBKJE53FD456TCHT53S,Neighbors sandoq | Office lunch fund,,yes,4,member,Joining was smooth. Wanted a reminder before the round closes.,2026-07-19T16:17:29.000Z,https://stellar.expert/explorer/testnet/account/GD4DCCECPN4M6F6YD6NNQDUD6M4NOOCXYYP4CGBKJE53FD456TCHT53S
GDGMCDU5HPC2Z7B6XO67IO5AZZR6NRITVS3E47WJ7LAQJBNAX2I2NJTC,,Pilot circle | Community sandoq | Family circle | Office lunch fund | Trustless circle,no,,,,,https://stellar.expert/explorer/testnet/account/GDGMCDU5HPC2Z7B6XO67IO5AZZR6NRITVS3E47WJ7LAQJBNAX2I2NJTC
GDJYZWEEPQ7QHAYRUL3LP64U5HWCWONT5DMMKRQBOLU4K5LC5VN2F25Z,Office lunch fund,,yes,5,exploring,it have realy good idea behind it,2026-07-25T21:06:40.000Z,https://stellar.expert/explorer/testnet/account/GDJYZWEEPQ7QHAYRUL3LP64U5HWCWONT5DMMKRQBOLU4K5LC5VN2F25Z
GDOCMYNNTH62NW37IZCN6BKQTM5Z73RW7OOFXRADLYXUABDN3UXWDTNC,ssay,ssay,no,,,,,https://stellar.expert/explorer/testnet/account/GDOCMYNNTH62NW37IZCN6BKQTM5Z73RW7OOFXRADLYXUABDN3UXWDTNC
GDVCPWNF6GSOQJ6FOXEICVSRUMZY73SJBUDAIVZAYJEU6T46PZA6KIRP,,,yes,5,organizer,"The UI and UX were both great, and everything felt smooth and intuitive to use",2026-07-19T17:39:27.000Z,https://stellar.expert/explorer/testnet/account/GDVCPWNF6GSOQJ6FOXEICVSRUMZY73SJBUDAIVZAYJEU6T46PZA6KIRP
